booking_id,hotel_name,category,price,rating,country,created_date,rooms_booked,customer_email
7691,"Taylor, Johnson and Hoover Hotel",Budget,119.06,3.0,UAE,06/12/2025,1.0,hillmikayla@example.net
9598,"Barnes, Williams and Cook Hotel",Resort,233.13,,Canada,25/10/2025,,JOHNORR@EXAMPLE.ORG
10421,"Jordan, Lewis and Jarvis Hotel",boutique,358.58,4.9,Spain,04/05/2024,4.0,dianeperez@example.com
5885,Mendez Ltd Hotel,Boutique,246.91,,Germany,2025-10-17,5.0,bobbyhunter@example.org
12212,"Underwood, Reyes and Nelson Hotel",Family,260.36,3.8,UAE,2024-07-13,2.0,higginsdavid@example.net
5193,Rivera and Sons Hotel,Luxury,305.38,4.8,Spain,10/10/2024,3.0,NATHAN32@EXAMPLE.ORG
9414,Hill-Taylor Hotel,family,207.69,4.6,Australia,2024-10-03,3.0,emilyrodriguez@example.net
10245,"Bradford, Harris and Martin Hotel",Luxury,454.43,3.8,Japan,2024-07-17,1.0,russellrichard@example.org
8887,"Forbes, Reynolds and Green Hotel",resort,,3.0,Italy,2024.03.03,2.0,dperkins@example.org
10608,Perez PLC Hotel,Boutique,347.0,4.2,Thailand,2024-03-18,4.0,kingamber@example.net
11675,"Martinez, Brown and Lee Hotel",Budget,114.57,3.0,France,2024-05-25,3.0,jason93@example.org
12629,Wilson-Lyons Hotel,Family,78.54,3.4,Thailand,25/12/2024,2.0,REYNOLDSDEBRA@EXAMPLE.NET
6337,Bailey Ltd Hotel,Luxury,430.01,2.8,Italy,2025-03-19,3.0,mikayla18@example.com
8985,Johnson-Lopez Hotel,Budget,114.58,3.1,Singapore,26/08/2024,3.0,stephanie57@example.com
1293,Lane Inc Hotel,Luxury,423.54,4.5,Australia,2025-08-12,2.0,ecooper@example.net
12861,"Jones, Robinson and Stanton Hotel",Budget,171.1,4.4,France,2024-12-25,3.0,johnschmidt@example.net
5313,Haynes and Sons Hotel,Boutique,270.8,4.2,UAE,2024-09-21,,CHURCHLISA@EXAMPLE.ORG
11211,"Maxwell, Lara and King Hotel",Family,119.46,4.7,Canada,2024-07-07,5.0,JEFF25@EXAMPLE.ORG
5867,Curry-Gould Hotel,Family,143.3,3.2,Australia,2025-11-12,4.0,fsanchez@example.org
1311,Krueger-Smith Hotel,Family,238.61,3.3,Singapore,2024-08-14,3.0,suzannewilson@example.com
4316,"Edwards, Dean and Wheeler Hotel",Budget,148.2,4.5,Spain,2026-02-22,4.0,mahoneysarah@example.org
4585,"Cook, Garrison and Vargas Hotel",Luxury,433.26,4.4,Italy,24/01/2025,3.0,vanessajimenez@example.org
10378,"Peterson, Hall and Wheeler Hotel",family,161.67,4.4,UAE,2026-02-10,5.0,rodriguezrebekah@example.com
1772,Wallace Inc Hotel,Business,141.92,4.6,France,2025-05-06,4.0,JSTEIN@EXAMPLE.ORG
1927,Zavala-Coleman Hotel,business,273.02,3.3,France,2025-10-01,,rickjuarez@example.com
7157,York LLC Hotel,Luxury,322.43,3.5,USA,2024-12-17,1.0,bryantmatthew@example.net
5953,Alexander-Martin Hotel,Boutique,343.38,3.0,Thailand,2025-10-27,3.0,james48@example.com
6022,"Shaw, Marquez and Davis Hotel",Family,212.49,4.0,Italy,2025-01-13,4.0,marknovak@example.com
4891,Evans Inc Hotel,Budget,166.86,3.0,Spain,2025-09-26,2.0,JASON97@EXAMPLE.COM
12856,"Preston, Miller and Miller Hotel",budget,89.56,4.5,Canada,2025-01-06,3.0,brandygilmore@example.org
12988,Roy Ltd Hotel,Resort,423.87,3.9,Italy,2024.11.30,4.0,morganflores@example.com
1304,Hill-Hawkins Hotel,Boutique,335.18,4.9,UAE,2025-04-26,4.0,conniesimmons@example.com
6758,"Humphrey, Benjamin and Harris Hotel",Business,137.18,4.1,Germany,2025-08-31,5.0,daviddodson@example.org
7128,"Baldwin, Green and Wilson Hotel",Budget,92.58,4.0,Singapore,2025-07-15,1.0,HAWKINSSUSAN@EXAMPLE.ORG
1811,Miller-Wagner Hotel,Luxury,431.93,4.6,UK,2025-03-17,5.0,JOHNATHAN94@EXAMPLE.COM
5093,Miller-Taylor Hotel,Budget,128.17,2.6,Italy,2024-12-08,2.0,jcarr@example.com
11723,Walker PLC Hotel,Boutique,328.25,4.4,Italy,2025-01-08,1.0,smithdeborah@example.net
4997,Cummings Group Hotel,Resort,345.85,4.8,UAE,16/01/2025,5.0,KENNETH41@EXAMPLE.COM
1247,Lawson-Edwards Hotel,Business,,3.1,Spain,2024-10-09,3.0,jessica56@example.org
2617,Mayer Ltd Hotel,Luxury,,3.2,Spain,2025-10-20,3.0,frankespinoza@example.com
1200,Harper and Sons Hotel,Luxury,431.52,4.1,USA,2024-08-04,3.0,henryschwartz@example.net
5907,Yates-Perez Hotel,Budget,63.68,4.6,Singapore,2024-07-02,1.0,langscott@example.net
11407,Sanchez LLC Hotel,Business,321.67,3.2,Italy,2025-06-22,4.0,bdavis@example.net
11542,Acosta Group Hotel,Business,222.42,4.2,UK,2025-09-26,4.0,mary61@example.net
5671,Mahoney-Martinez Hotel,resort,423.24,4.1,Singapore,2025-08-17,2.0,turnernancy@example.net
4487,"Hughes, Williams and Smith Hotel",Budget,,4.7,UK,2024-11-30,2.0,cassielong@example.net
12676,Johnson-Medina Hotel,business,234.76,2.7,Japan,2025-02-04,5.0,idonovan@example.org
10891,"Brown, Wall and Atkins Hotel",Boutique,323.82,3.4,Italy,25/05/2024,3.0,douglas92@example.com
10297,Charles PLC Hotel,Budget,56.95,3.0,USA,2024.10.16,3.0,bcampbell@example.com
6899,"Johnson, Howard and Colon Hotel",Resort,236.34,3.5,France,2025-04-07,4.0,connermelissa@example.net
4617,Mills Group Hotel,Resort,408.64,3.6,UK,2025-10-24,5.0,DBAILEY@EXAMPLE.ORG
4931,Rodriguez Group Hotel,Boutique,316.52,3.9,Germany,2025-06-13,1.0,amberpruitt@example.org
10318,"Romero, Ryan and Hodges Hotel",Business,156.73,4.5,Australia,2025-12-18,2.0,evansmith@example.net
4025,Garza-Hall Hotel,Luxury,391.93,2.8,Italy,2024.04.15,5.0,BENSONKIMBERLY@EXAMPLE.ORG
5410,"Parks, Campbell and Morgan Hotel",Resort,293.95,3.7,Japan,2024-10-26,5.0,EMILY60@EXAMPLE.ORG
2188,Stewart-Buchanan Hotel,Business,280.9,3.4,USA,2025-05-13,4.0,meyertiffany@example.net
9015,"Reed, Drake and Perkins Hotel",Family,225.61,3.5,Spain,2025-07-15,1.0,heatherbrown@example.org
5441,Potter Ltd Hotel,Budget,73.72,4.8,Australia,2024-08-26,,PIERCEFRANK@EXAMPLE.ORG
11943,Jenkins LLC Hotel,Budget,136.63,3.9,UK,2025-09-11,4.0,davidtravis@example.net
3754,Ward LLC Hotel,business,180.13,4.3,France,2025-10-07,,drewbennett@example.com
3952,"Maddox, Jenkins and Moore Hotel",business,151.05,4.7,Spain,2025-05-07,2.0,maxwellgibson@example.org
8146,Rojas Inc Hotel,Business,199.0,4.1,USA,2024-05-14,4.0,wallacedavid@example.org
10075,Sanchez LLC Hotel,Family,95.98,3.1,Italy,28/11/2025,2.0,william17@example.org
9394,Taylor LLC Hotel,boutique,290.86,2.6,USA,2025-06-22,1.0,mendezemily@example.org
7536,Hawkins Group Hotel,Business,176.4,4.8,USA,2025-05-08,2.0,ELIZABETHTAYLOR@EXAMPLE.NET
11628,Shaw and Sons Hotel,Luxury,336.52,4.9,Germany,2025-04-04,1.0,carl63@example.com
4872,Harrell-Gonzales Hotel,Resort,291.49,3.1,UAE,2024-10-30,,nicholasibarra@example.com
1518,Hernandez-Davis Hotel,Family,93.87,5.0,UK,2024-06-28,3.0,cummingscraig@example.com
3021,Reid-Rodriguez Hotel,Business,220.56,4.9,France,2025-06-28,1.0,bjohnson@example.net
6165,Green Ltd Hotel,boutique,323.99,3.1,UAE,2025-03-24,1.0,WHITNEYJOHNSON@EXAMPLE.NET
6700,Rogers-Hernandez Hotel,resort,367.35,4.9,UK,2024-08-04,1.0,nshields@example.net
2383,"Barker, Martin and Horton Hotel",Luxury,462.6,4.9,Spain,2024-10-16,2.0,RITA96@EXAMPLE.ORG
9376,Hall PLC Hotel,family,245.24,4.9,Germany,2024-07-15,4.0,CAMACHOJOHNNY@EXAMPLE.ORG
3301,Rodriguez-Stephens Hotel,Luxury,370.87,3.5,Spain,2025-09-13,2.0,MARSHALLJAMIE@EXAMPLE.ORG
6008,Walton-Ross Hotel,Family,153.26,3.9,France,2025-09-10,3.0,LISA66@EXAMPLE.COM
8770,"Freeman, Ruiz and Terry Hotel",Resort,272.26,,Japan,2024-06-18,1.0,fischerdustin@example.net
2217,Kennedy-Rogers Hotel,resort,376.25,,Singapore,2024-07-06,1.0,RROGERS@EXAMPLE.COM
9083,"Houston, Owens and Smith Hotel",Budget,197.69,4.0,Japan,2025-04-14,1.0,HKING@EXAMPLE.NET
2275,Bruce-Walters Hotel,family,,4.0,Spain,2025-09-10,3.0,blairshirley@example.org
8447,Whitney-Shaw Hotel,Resort,323.45,4.1,Spain,27/11/2025,1.0,STEPHENSONSHAUN@EXAMPLE.COM
5279,Martin-Farmer Hotel,family,116.87,4.5,Italy,2024-05-19,1.0,jacquelinewilliamson@example.org
1970,Booker Group Hotel,boutique,186.62,3.8,Spain,2025-05-09,2.0,lking@example.org
9149,Taylor-White Hotel,Business,320.76,2.8,Thailand,2025-11-05,1.0,sweeneypamela@example.net
4837,Bishop Inc Hotel,Business,,3.0,Australia,2025.10.17,2.0,matthew05@example.net
9404,"Robertson, Hoover and Herring Hotel",Luxury,464.94,3.9,France,2024-05-29,1.0,hughesbrent@example.org
4445,Church-Lopez Hotel,Family,135.76,3.1,Australia,2024-08-28,3.0,russelljon@example.com
5770,Coleman-Delgado Hotel,Boutique,242.77,4.5,Italy,2025-01-29,2.0,shannoncarpenter@example.org
3628,Brown-Perkins Hotel,Budget,214.66,2.9,USA,2025-01-16,3.0,kevin07@example.com
6767,"Peters, White and Pearson Hotel",family,215.95,4.1,Spain,2024-07-24,3.0,zacharymorris@example.org
8445,Caldwell Group Hotel,Boutique,358.2,,Singapore,2025-12-23,,krausepaul@example.org
11962,Duncan PLC Hotel,Resort,300.62,3.5,Spain,2024-06-30,5.0,stewartkevin@example.org
8781,"Shaffer, Carr and Harper Hotel",resort,331.21,3.4,Italy,2026-01-29,3.0,HANSONJESSICA@EXAMPLE.COM
1613,Carr-Braun Hotel,Boutique,251.93,3.5,Canada,2026-01-16,1.0,afischer@example.net
4813,"Murphy, Mcdowell and Roman Hotel",Family,262.82,3.1,UAE,2025-02-11,3.0,lambalexandra@example.net
6862,"Murray, Bradley and Davis Hotel",Resort,253.13,3.8,Singapore,2026-03-02,4.0,BWARD@EXAMPLE.COM
11836,"Cooper, Diaz and Warner Hotel",Resort,232.36,4.1,Thailand,16/04/2025,1.0,PIERCEMELANIE@EXAMPLE.NET
11149,Johnson-Johnson Hotel,Luxury,332.53,,Thailand,2024-05-20,1.0,WALKERSUSAN@EXAMPLE.COM
1429,Hawkins-Pierce Hotel,Boutique,354.08,,Japan,2025-09-02,5.0,murraylinda@example.org
10128,Shelton-Miller Hotel,Luxury,469.02,2.6,Japan,2025-03-05,1.0,ANTHONYGINA@EXAMPLE.ORG
4079,Gallegos PLC Hotel,Budget,,4.9,UAE,2025-07-09,5.0,teresaflores@example.com
2965,Kelley Inc Hotel,Business,309.06,3.3,Spain,2025-09-25,4.0,SHANEWILSON@EXAMPLE.COM
9137,Daniel-Reed Hotel,Budget,27.44,3.7,Thailand,2024-10-09,4.0,MARK40@EXAMPLE.ORG
7109,Joyce PLC Hotel,Budget,20.01,2.9,Australia,2025-04-11,1.0,vowen@example.com
2786,Paul Ltd Hotel,Budget,,4.6,Canada,02/02/2025,3.0,ncampbell@example.org
1396,Richmond-Edwards Hotel,Family,118.14,3.4,Canada,2025-06-16,1.0,johnnewman@example.org
5308,"Walls, Ritter and Terrell Hotel",Budget,65.04,4.4,USA,2025-04-25,4.0,AVANG@EXAMPLE.NET
8201,Duran-Avery Hotel,budget,100.2,4.6,Singapore,2025-09-26,3.0,mcdowelllisa@example.net
7240,Klein-Small Hotel,Resort,285.33,3.7,France,2026-01-12,1.0,anna94@example.com
8897,"Gonzalez, Edwards and Keller Hotel",boutique,224.35,4.2,UK,06/09/2025,5.0,qgarcia@example.org
9741,Nelson Inc Hotel,Resort,426.27,2.7,USA,2024-10-05,3.0,joneselizabeth@example.org
12026,"Davis, Hernandez and Scott Hotel",Family,230.96,4.0,Spain,2026-02-09,5.0,samantha61@example.net
10808,Davenport-Moreno Hotel,Business,241.55,4.8,UK,2025-11-14,5.0,SCHMITTSARA@EXAMPLE.NET
5031,Bird and Sons Hotel,Boutique,354.56,2.8,France,2025-02-22,4.0,clarkegabriel@example.org
2839,"Nicholson, Walker and Adams Hotel",Business,152.29,2.6,Australia,2024-04-02,,STEVENSSAMUEL@EXAMPLE.NET
10240,Williams Group Hotel,Family,121.92,3.9,UK,2025-05-08,5.0,melinda88@example.com
10253,Hernandez LLC Hotel,Budget,151.68,2.6,USA,28/05/2024,2.0,ronaldwilliams@example.net
10912,"Franco, Hayes and Mcpherson Hotel",luxury,485.63,4.7,Australia,2025-03-29,4.0,christopher12@example.org
4842,"Silva, Rivera and Myers Hotel",budget,138.89,4.1,France,20/07/2024,5.0,james16@example.com
10140,Richardson PLC Hotel,Luxury,454.72,3.4,Australia,2025-04-22,2.0,lfuller@example.org
6652,Walsh-Simpson Hotel,family,107.15,2.8,France,2025-10-28,1.0,qortiz@example.net
12076,House LLC Hotel,Resort,340.03,4.5,USA,2025-11-21,2.0,bradleyabbott@example.com
6527,Conrad-Abbott Hotel,Family,237.51,3.1,Australia,2025.05.16,5.0,jennifer55@example.net
12975,"Flowers, Parker and Johnson Hotel",Business,265.57,3.1,Thailand,2025-08-20,3.0,asullivan@example.org
3771,Curry-Dixon Hotel,Budget,73.42,2.6,Germany,18/03/2024,1.0,DAWSONAMANDA@EXAMPLE.COM
5387,Finley PLC Hotel,Business,240.31,3.7,UAE,2024-08-30,3.0,NHEATH@EXAMPLE.ORG
3901,Cunningham and Sons Hotel,Luxury,449.71,3.3,Australia,2025-04-17,1.0,nathan38@example.net
3464,French Group Hotel,Luxury,492.51,4.2,Italy,2024-04-23,3.0,ebruce@example.net
8699,Sanders-Sherman Hotel,Business,318.06,4.9,Canada,2025-10-21,5.0,HUNTAMANDA@EXAMPLE.COM
8553,Carlson LLC Hotel,Luxury,,4.3,Thailand,2024-05-02,1.0,davisbernard@example.net
3862,Hendrix-Garcia Hotel,Family,130.21,,Italy,2025-06-15,1.0,jessicalittle@example.org
10027,Garcia LLC Hotel,Family,,4.0,Italy,2025-11-21,5.0,LONGCHRISTOPHER@EXAMPLE.NET
2153,Ferguson and Sons Hotel,budget,92.64,4.1,USA,2025-06-17,4.0,KRODRIGUEZ@EXAMPLE.COM
10024,Lee Ltd Hotel,Resort,413.29,4.9,Australia,2024-06-08,1.0,jennifermolina@example.org
4204,"Morgan, Arellano and Reyes Hotel",Budget,62.52,3.3,UK,2025-03-09,3.0,NFLETCHER@EXAMPLE.ORG
6007,Mcclain Group Hotel,Resort,367.11,4.5,Japan,2024-09-19,4.0,MITCHELL67@EXAMPLE.NET
1218,Baldwin Group Hotel,Resort,315.93,3.2,Spain,2025-03-23,3.0,carterbradley@example.org
2142,White and Sons Hotel,Budget,105.15,4.2,USA,2025-03-17,5.0,deanna51@example.com
8105,"Collins, Bishop and Jones Hotel",Luxury,328.23,2.8,Canada,2024-06-03,2.0,scottjennifer@example.org
12377,Phillips-Jenkins Hotel,Boutique,235.71,3.7,Thailand,04/11/2025,3.0,jenniferarellano@example.org
12112,Miller LLC Hotel,Budget,77.56,3.2,UAE,2025-05-04,5.0,taylorsteven@example.org
10448,Anderson Group Hotel,Business,268.83,2.6,UAE,28/10/2024,5.0,molly47@example.org
8600,Rosario Inc Hotel,family,156.8,4.0,Spain,2024-06-27,1.0,DIANA28@EXAMPLE.COM
12138,Smith-Weiss Hotel,Luxury,353.83,3.1,USA,2024-04-04,1.0,JUANGARCIA@EXAMPLE.NET
5335,"Fields, Bryan and Jackson Hotel",Family,263.32,3.0,UAE,2025-07-25,5.0,LISA70@EXAMPLE.COM
6399,Ayala LLC Hotel,Business,300.86,5.0,Canada,19/12/2024,2.0,cooperjamie@example.com
11936,Fields and Sons Hotel,boutique,,4.5,Germany,2024-11-28,5.0,LINGREGORY@EXAMPLE.COM
9995,Bray Ltd Hotel,budget,126.66,3.1,Thailand,2025-11-08,3.0,hgarza@example.net
8615,Wilson Inc Hotel,Business,217.02,3.9,Singapore,06/01/2026,3.0,kennethhughes@example.com
2713,"Banks, Patterson and Martinez Hotel",Family,164.51,3.8,Australia,2024-09-14,5.0,melaniechang@example.net
9243,Barker LLC Hotel,Boutique,203.34,4.2,Australia,2024-08-25,4.0,williamsanthony@example.net
10278,"Smith, Griffith and Galvan Hotel",Luxury,422.52,4.4,Thailand,12/01/2025,1.0,bwu@example.net
1132,Howard-Jordan Hotel,Resort,257.15,2.9,Singapore,2024-12-03,3.0,amandaknight@example.org
9875,"Cobb, Scott and Vincent Hotel",Budget,104.75,3.4,Australia,2024-10-23,3.0,kimcameron@example.org
12297,Williams-Jackson Hotel,Family,,3.9,Germany,2025-08-26,1.0,martinezchristina@example.net
7620,Wise-Brewer Hotel,Resort,290.82,4.3,Japan,2025-08-31,4.0,huntsamuel@example.org
3564,"Gallagher, Colon and Rogers Hotel",Family,111.18,3.5,Thailand,2024-06-23,1.0,ROBERTBROWN@EXAMPLE.COM
11507,Morton and Sons Hotel,Business,229.66,4.9,Germany,2025-04-08,4.0,MELISSASTONE@EXAMPLE.NET
4794,Foley PLC Hotel,boutique,237.89,3.7,Spain,2024-12-05,2.0,jonesjill@example.com
7301,Drake Inc Hotel,Family,216.01,2.7,Spain,2024-07-05,4.0,patricia15@example.net
11964,Brown-Brooks Hotel,Business,266.24,3.5,Japan,2024-11-24,5.0,qmurphy@example.net
7189,Horton Inc Hotel,Business,140.44,2.5,Spain,2026-01-06,5.0,navarromark@example.com
4752,"Holmes, Munoz and Farley Hotel",budget,74.67,4.2,Germany,30/10/2024,3.0,JASON51@EXAMPLE.NET
9525,"Jones, Wilson and Walker Hotel",Budget,116.09,3.9,Spain,2025-11-28,4.0,sarahbrown@example.org
7702,Garcia Inc Hotel,Luxury,304.06,4.1,Italy,2024.03.17,4.0,KENTMAURICE@EXAMPLE.NET
5100,Rivas PLC Hotel,Family,241.13,4.4,USA,2024-05-13,5.0,jessicaboone@example.com
1135,"Moore, Alexander and Reed Hotel",boutique,,4.1,Australia,2024-11-11,5.0,danielle64@example.com
12911,"Marsh, Barton and Sims Hotel",Boutique,335.68,3.2,Singapore,2024-04-10,4.0,griffinashley@example.net
9651,Taylor-Carter Hotel,budget,,4.2,Thailand,2025-06-29,2.0,rodriguezroberta@example.org
1979,Hunter-Bell Hotel,Business,322.49,,USA,2024-04-04,4.0,SHAWN00@EXAMPLE.NET
3927,Bryant-Johnson Hotel,Family,195.42,2.8,Germany,13/09/2025,1.0,SAMUELSANDOVAL@EXAMPLE.ORG
1008,Clark-Adams Hotel,business,288.42,2.7,Japan,2024-07-01,1.0,lynchgeorge@example.net
4231,Campbell LLC Hotel,Resort,350.59,4.5,Australia,2025-06-24,3.0,raymond62@example.org
9839,Reid-Monroe Hotel,Boutique,282.19,4.4,UK,2024.09.18,1.0,laura63@example.com
1379,Sellers-Riddle Hotel,Budget,113.4,2.9,Canada,2026-02-09,4.0,jacquelineanderson@example.org
3388,Johnson and Sons Hotel,Luxury,301.32,4.6,Canada,05/05/2025,1.0,kimberlyblair@example.net
7672,"Jones, Taylor and Collins Hotel",business,304.02,4.0,France,12/01/2026,3.0,davidsnyder@example.net
8402,"Watson, Olson and Castro Hotel",resort,254.53,4.1,Canada,2024-05-27,4.0,zhurley@example.net
7559,Davis Ltd Hotel,Budget,182.98,3.0,Italy,06/03/2024,1.0,cdunn@example.com
8293,Olson LLC Hotel,Resort,230.47,3.4,Spain,2025-06-03,5.0,tharper@example.org
11113,Marshall Inc Hotel,family,160.0,3.3,Germany,2025-04-12,3.0,brandtedward@example.net
3351,Butler-Sosa Hotel,business,151.31,4.4,Thailand,12/05/2025,4.0,csparks@example.net
12133,"Watkins, Martin and Wilson Hotel",Boutique,325.4,3.5,Germany,2025-08-02,5.0,NUNEZMARIA@EXAMPLE.NET
1457,Peterson Group Hotel,Resort,257.16,4.5,Australia,2024-03-21,5.0,jessicapayne@example.org
8586,Moran-Miller Hotel,Resort,421.87,2.9,Australia,2025.01.17,2.0,masonbrian@example.org
12248,"Ramsey, Wood and Roberson Hotel",Budget,94.6,2.6,Spain,2025-08-28,2.0,nicholasgibson@example.com
2039,Roman LLC Hotel,Family,250.95,3.3,UAE,2025.06.19,4.0,OWILSON@EXAMPLE.ORG
4372,Smith-White Hotel,business,232.36,4.4,France,2025-01-07,4.0,MATTHEW34@EXAMPLE.COM
5604,"Long, Johnston and Thompson Hotel",Luxury,313.78,4.4,Spain,20/06/2025,5.0,HMURRAY@EXAMPLE.COM
12852,"Mckee, Watson and Haynes Hotel",Resort,340.32,4.2,Japan,2025-07-14,1.0,patricia01@example.net
5156,Buck-Thompson Hotel,Luxury,330.02,3.7,USA,12/06/2025,4.0,stevengreen@example.net
2043,Soto and Sons Hotel,Budget,199.13,4.3,Spain,2025-03-01,2.0,ERIC47@EXAMPLE.NET
11513,"Bryan, Miller and Nelson Hotel",Boutique,280.95,3.7,USA,2024-10-26,1.0,lancelopez@example.net
1099,Short Group Hotel,Budget,117.47,2.8,UAE,2024-04-08,2.0,ojones@example.net
6817,Glover-Woods Hotel,Boutique,358.6,4.1,Australia,05/02/2026,1.0,HRANGEL@EXAMPLE.COM
12620,Stewart-Martinez Hotel,Business,,2.7,Spain,2024.08.19,5.0,timothy34@example.com
8303,"Russo, Stephens and Shepard Hotel",budget,16.78,3.2,Canada,2025-02-06,2.0,TGOMEZ@EXAMPLE.COM
3019,Garcia and Sons Hotel,Family,70.87,3.0,Australia,2024-11-16,1.0,JOYPOTTS@EXAMPLE.NET
11401,"Larsen, Moore and Flores Hotel",Luxury,339.52,4.6,Italy,2026-01-03,5.0,erin96@example.org
10863,"Hood, Savage and Wright Hotel",Family,,2.9,UAE,2025-08-27,5.0,scarroll@example.org
9537,Fitzgerald-Chan Hotel,Budget,,3.2,France,2024.08.19,3.0,huntbrian@example.net
6840,"Murray, Greene and Davis Hotel",Budget,,3.2,Singapore,2025-09-06,1.0,lmelendez@example.com
